TITULO,ANO,NOMES_AJUSTADOS
7X1PT UM CORPUS EXTRADO DO TWITTER PARA ANLISE DE SENTIMENTOS EM LNGUA PORTUGUESA,2015,"['MILENE SELBACH SILVEIRA', 'ISABEL HARB MANSSOUR']"
8203 IMPLEMENTAO PARALELA DE ALGORITMOS DE CLASSIFICAO DE  DADOS PARA UMA DSL DE VISUALIZAO DE DADOS GEOESPACIAIS,2016,"['LUIZ GUSTAVO LEAO FERNANDES', 'DALVAN JAIR GRIEBLER']"
8203BAYESIAN OPTIMIZATION FOR PATH PLANNING OF UAVS IN MONITORING APPLICATIONS,2015,"['DENIS FERNANDO WOLF', 'KELEN CRISTIANE TEIXEIRA VIVALDINI']"
8206ON GENERALIZED MIXTURE FUNCTIONS,2022,"['REGIVAN HUGO NUNES SANTIAGO', 'BENJAMIN RENE CALLEJAS BEDREGAL']"
8K UHD 60FPS LOWPOWER AND REALTIME HEVC DEBLOCKING FILTER ARCHITECTURE,2020,"['DANIEL MUNARI VILCHEZ PALOMINO', 'LUCIANO VOLCAN AGOSTINI']"
960SODM BUILDING SOC APPLICATIONS IN THE PRESENCE OF NONFUNCTIONAL REQUIREMENTS,2018,"['UMBERTO SOUZA DA COSTA', 'MARTIN ALEJANDRO MUSICANTE']"
A 3APPROXIMATION ALGORITHM FOR THE MAXIMUM LEAF K FOREST PROBLEM,2017,"['FABIO LUIZ USBERTI', 'ORLANDO LEE']"
A 3D LUNG NODULE CANDIDATE DETECTION BY GROUPING DCNN 2D CANDIDATES,2019,"['LUCAS FERRARI DE OLIVEIRA', 'DAVID MENOTTI GOMES']"
A 3D MODELING METHODOLOGY BASED ON A CONCAVITYAWARE GEOMETRIC TEST TO CREATE 3D TEXTURED COARSE MODELS FROM CONCEPT ART AND ORTHOGRAPHIC PROJECTIONS,2018,"['RENATO ANTONIO CELSO FERREIRA', 'ERICKSON RANGEL DO NASCIMENTO']"
A 3D SIMULATION SYSTEM FOR EMERGENCY EVACUATION IN OFFSHORE PLATFORMS,2015,"['ALBERTO BARBOSA RAPOSO', 'MARCELO GATTASS']"
A 3D SIMULATOR FOR A SOCIAL AND LUDIC ROBOTICS PLATFORM,2023,"['DEBORA CHRISTINA MUCHALUAT SAADE', 'ESTEBAN WALTER GONZALEZ CLUA']"
A 3D SKETCHBASED FORMULATION TO MODEL SALT BODIES FROM SEISMIC DATA,2020,"['ANSELMO ANTUNES MONTENEGRO', 'MARCELO GATTASS']"
A ABORDAGEM CONSTRUTIVISTA NO DESENVOLVIMENTO DE UM SERIOUS GAME DO GNERO ESCAPE ROOM,2018,"['SEIJI ISOTANI', 'CLAUDIO FABIANO MOTTA TOLEDO']"
A APLICAO DE VISUALIZAES GRFICAS PARA A ANLISE JORNALSTICA DE DADOS DO TWITTER,2015,"['ISABEL HARB MANSSOUR', 'MILENE SELBACH SILVEIRA']"
A BATCH SCHEDULING ALGORITHM FOR VPON RECONFIGURATION AND BBU MIGRATION IN HYBRID CLOUDFOG RAN,2019,"['DANIEL MACEDO BATISTA', 'GUSTAVO BITTENCOURT FIGUEIREDO']"
A BENCHMARK FOR IRIS LOCATION AND A DEEP LEARNING DETECTOR EVALUATION,2018,"['DANIEL WEINGAERTNER', 'DAVID MENOTTI GOMES']"
A BENCHMARK OF CLASSIFIERS ON FEATURE DRIFTING DATA STREAMS,2016,"['ALCEU DE SOUZA BRITTO JR', 'FABRICIO ENEMBRECK', 'JEAN PAUL BARDDAL']"
A BENCHMARK ON MULTI IMPROVEMENT NEIGHBORHOOD SEARCH STRATEGIES IN CPUGPU SYSTEMS,2016,"['LUIZ SATORU OCHI', 'IGOR MACHADO COELHO', 'RICARDO FARIAS']"
A BENCHMARK ON MULTI IMPROVEMENT NEIGHBORHOOD SEARCH STRATEGIES IN CPUGPU SYSTEMS BEST PAPER WAMCA 2016,2016,"['LUIZ SATORU OCHI', 'IGOR MACHADO COELHO', 'MARIA CRISTINA SILVA BOERES', 'RICARDO FARIAS']"
A BENCHMARKING FOR PUBLIC INFORMATION BY MACHINE LEARNING AND REGULAR LANGUAGE,2023,"['SERGIO LIFSCHITZ', 'EDWARD HERMANN HAEUSLER']"
A BENCHMARKING TOOL FOR THE GENERATION OF BIPARTITE NETWORK MODELS WITH OVERLAPPING COMMUNITIES,2019,"['MARIA CRISTINA FERREIRA DE OLIVEIRA', 'ALAN DEMETRIUS BARIA VALEJO', 'ALNEU DE ANDRADE LOPES']"
A BIASED RANDOMKEY GENETIC ALGORITHM FOR ROUTING AND WAVELENGTH ASSIGNMENT UNDER A SLIDING SCHEDULED TRAFFIC MODEL,2020,"['THIAGO FERREIRA DE NORONHA', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
A BIASED RANDOMKEY GENETIC ALGORITHM FOR SCHEDULING HETEROGENEOUS MULTIROUND SYSTEMS,2017,"['THIAGO FERREIRA DE NORONHA', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
A BIASED RANDOMKEY GENETIC ALGORITHM FOR THE 2DIMENSIONAL GUILLOTINE CUTTING STOCK PROBLEM WITH STACK CONSTRAINTS,2022,"['THIAGO FERREIRA DE NORONHA', 'SEBASTIAN ALBERTO URRUTIA']"
A BIASED RANDOMKEY GENETIC ALGORITHM FOR THE CHORDAL COMPLETION PROBLEM,2023,"['UEVERTON DOS SANTOS SOUZA', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
A BIASED RANDOMKEY GENETIC ALGORITHM FOR THE QUASICLIQUE PARTITIONING PROBLEM,2024,"['RAFAEL AUGUSTO DE MELO', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
A BIASED RANDOMKEY GENETIC ALGORITHM FOR THE TRAFFIC COUNTING LOCATION PROBLEM,2019,"['LUIDI GELABERT SIMONETTI', 'PEDRO HENRIQUE GONZALEZ SILVA']"
A BIASED RANDOMKEY GENETIC ALGORITHM TO MAXIMIZE THE NUMBER OF ACCEPTED LIGHTPATHS IN WDM OPTICAL NETWORKS,2016,"['THIAGO FERREIRA DE NORONHA', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
A BIASED RANDOMKEY GENETIC ALGORITHM TO THE MAXIMUM CARDINALITY QUASICLIQUE PROBLEM,2015,"['ALEXANDRE PLASTINO DE CARVALHO', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
