TITULO,ANO,NOMES_AJUSTADOS
A COMPUTATIONAL COMPLEXITY COMPARATIVE STUDY OF GRAPH TESSELLATION PROBLEMS,2021,"['CELINA MIRAGLIA HERRERA DE FIGUEIREDO', 'LUIS FELIPE IGNACIO CUNHA', 'FRANKLIN DE LIMA MARQUEZINO', 'LUIS ANTONIO BRASIL KOWADA']"
A COMPUTATIONAL INFRASTRUCTURE MODEL FOR RESEARCH ON COMPUTER VISION,2015,"['WILLIAM ROBSON SCHWARTZ', 'JEFERSSON ALEX DOS SANTOS']"
A COMPUTATIONAL METHOD FOR BREAST ABNORMALITY DETECTION USING THERMOGRAPHS,2020,"['FLAVIO LUIZ SEIXAS', 'AURA CONCI']"
A COMPUTATIONAL METHOD TO ASSIST THE DIAGNOSIS OF BREAST DISEASE USING DYNAMIC THERMOGRAPHY,2020,"['DEBORA CHRISTINA MUCHALUAT SAADE', 'AURA CONCI']"
A COMPUTATIONAL MODEL FOR ACCESSIBILITY IN SMART CITIES,2016,"['JORGE LUIS VICTORIA BARBOSA', 'RODRIGO DA ROSA RIGHI']"
A COMPUTATIONAL MODEL FOR ADAPTIVE RECORDING OF VITAL SIGNS THROUGH CONTEXT HISTORIES,2021,"['JORGE LUIS VICTORIA BARBOSA', 'ADENAUER CORREA YAMIN']"
A COMPUTATIONAL STUDY OF FREVERSIBLE PROCESSES ON GRAPHS,2018,"['VALMIR CARNEIRO BARBOSA', 'FABIO PROTTI']"
A CONCEPTBASED ILP APPROACH FOR MULTIDOCUMENT SUMMARIZATION EXPLORING CENTRALITY AND POSITION,2018,"['RAFAEL DUEIRE LINS', 'FREDERICO LUIZ GONCALVES DE FREITAS']"
A CONCEPTBASED INTEGER LINEAR PROGRAMMING APPROACH FOR SINGLEDOCUMENT SUMMARIZATION,2016,"['RAFAEL DUEIRE LINS', 'FREDERICO LUIZ GONCALVES DE FREITAS']"
A CONCEPTUAL DATA MODEL FOR HEALTH INFORMATION SYSTEMS,2016,"['VALERIA CESARIO TIMES', 'SERGIO CASTELO BRANCO SOARES']"
A CONCEPTUAL FRAMEWORK FOR PRAGMATIC INTEROPERABILITY,2019,"['RITA SUZANA PITANGUEIRA MACIEL', 'DANIELA BARREIRO CLARO']"
A CONCEPTUAL MODEL FOR AUTONOMIC RELATIONSHIPS IN THE SOCIAL INTERNET OF THINGS,2022,"['ADENAUER CORREA YAMIN', 'ANA MARILZA PERNAS FLEISCHMANN']"
A CONCEPTUAL VISION TOWARD THE MANAGEMENT OF MACHINE LEARNING MODELS,2019,"['PAULO DE FIGUEIREDO PIRES', 'FLAVIA COIMBRA DELICATO']"
A CONGESTION CONTROL FRAMEWORK FOR DELAY AND DISRUPTION TOLERANT NETWORKS,2019,['JOSE MARCOS SILVA NOGUEIRA']
A CONSTRUCTIVE ALGORITHM FOR NEURAL NETWORKS INSPIRED ON DECISION TREES AND EVOLUTIONARY ALGORITHMS,2016,"['JULIO CESAR NIEVOLA', 'EMERSON CABRERA PARAISO']"
A CONTACT NETWORKBASED APPROACH FOR ONLINE PLANNING OF CONTAINMENT MEASURES   FOR COVID19,2020,"['LELIANE NUNES DE BARROS', 'DENIS DERATANI MAUA']"
A CONTEXTADAPTIVE ENCODING SCHEME FOR LENSLET LIGHT FIELDS EMPLOYING HEVC VIDEO ENCODER,2019,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A CONTEXTAWARE METHOD DECOUPLED FROM PROTOCOL FOR ADAPTING ROUTING PROCESS IN DTN,2015,"['LUIZ CARLOS PESSOA ALBINI', 'EDUARDO JAQUES SPINOSA']"
A CONTEXTAWARE MIDDLEWARE FOR MEDICAL IMAGE BASED REPORTS,2015,"['JOSE VITERBO FILHO', 'AURA CONCI']"
A CONTEXTAWARE MIDDLEWARE FOR MEDICAL IMAGE BASED REPORTS AN APPROACH BASED ON IMAGE FEATURE EXTRACTION AND ASSOCIATION RULES,2015,"['JOSE VITERBO FILHO', 'AURA CONCI']"
A CONTEXTAWARE RECOMMENDER METHOD BASED ON TEXT AND OPINION MINING,2020,"['RICARDO MARCONDES MARCACINI', 'SOLANGE OLIVEIRA REZENDE']"
A CONTEXTAWARE SPONTANEOUS MOBILE SOCIAL NETWORK,2015,"['JORGE LUIS VICTORIA BARBOSA', 'RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA']"
A CONTEXTBASED COLLABORATIVE FRAMEWORK TO BUILD SIGN LANGUAGE DATABASES BY REAL USERS,2015,"['ANDRE LUIZ PIRES GUEDES', 'LAURA SANCHEZ GARCIA']"
A CONTINUOUS USER AUTHENTICATION SYSTEM BASED ON GALVANIC COUPLING COMMUNICATION FOR SHEALTH,2019,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS']"
A COOCCURRENCE BASED APPROACH FOR MINING OVERLAPPED COCLUSTERS IN BINARY DATA,2021,"['VANIA BOGORNY', 'RAFAEL DE SANTIAGO']"
A COSTEFFICIENT METHOD FOR BIG GEOSPATIAL DATA ON PUBLIC CLOUD PROVIDERS,2017,"['MARISTELA TERTO DE HOLANDA', 'ALETEIA PATRICIA FAVACHO DE ARAUJO']"
A COUNSELORSBASED INTRUSION DETECTION ARCHITECTURE,2019,"['SILVIO ERENO QUINCOZES', 'CELIO VINICIUS NEVES DE ALBUQUERQUE']"
A COUNTING LEMMA FOR SPARSE PSEUDORANDOM HYPERGRAPHS,2015,"['YOSHIHARU KOHAYAKAWA', 'GUILHERME OLIVEIRA MOTA']"
A COVID19 NO TWITTER CORRELACIONANDO VOCABULRIO COM AGRAVAMENTO E ATENUAO DA PANDEMIA NO BRASIL,2022,"['ANA PAULA COUTO DA SILVA', 'WAGNER MEIRA JUNIOR']"
A CRASH RESPONSE SYSTEM USING LORABASED V2X COMMUNICATIONS,2023,"['ROBERTO HIRATA JUNIOR', 'DANIEL MACEDO BATISTA']"
A CRIAO DE JOGOS PARA O ENSINO DE COMPUTAO UMA ANLISE COMPARATIVA,2021,"['SIMONE ANDRE DA COSTA CAVALHEIRO', 'LUCIANA FOSS']"
A CRITICAL ANALYSIS OF RED CERAMIC BLOCKS ROUGHNESS ESTIMATION BY 2D AND 3D METHODS,2021,"['LUIZ GONZAGA DA SILVEIRA JUNIOR', 'MAURICIO ROBERTO VERONEZ', 'CRISTIANO ANDRE DA COSTA']"
A CRITICAL SURVEY OF THE MULTILEVEL METHOD IN COMPLEX NETWORKS,2020,"['MARIA CRISTINA FERREIRA DE OLIVEIRA', 'ALAN DEMETRIUS BARIA VALEJO', 'ALNEU DE ANDRADE LOPES']"
A CROWDSOURCING APPROACH TO THE DESIGN OF VIRTUAL RESEARCH ENVIRONMENTS,2015,"['GERALDO ZIMBRAO DA SILVA', 'JANO MOREIRA DE SOUZA']"
A CTUBASED IME APPROACH FOR MULTIPLE BLOCK SIZES IN A REDUNDANCYFREE HARDWARE DESIGN,2021,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A CUSTOMIZED CLASSIFICATION ALGORITHM FOR CREDIT CARD FRAUD DETECTION,2018,"['ADRIANO CESAR MACHADO PEREIRA', 'GISELE LOBO PAPPA']"
A CYBERRESILIENT ARCHITECTURE FOR CRITICAL SECURITY SERVICES,2016,"['RODRIGO DA ROSA RIGHI', 'DOUGLAS DYLLON JERONIMO DE MACEDO']"
A DATA ANALYSIS OF PLAYER IN WORLD OF WARCRAFT USING GAME DATA MINING,2017,"['GENAINA NUNES RODRIGUES', 'RICARDO PEZZUOL JACOBI']"
A DATA ANALYTICS SYSTEM FOR THE BRAZILIAN ELECTRICITY SECTOR,2018,"['RENATO ANTONIO CELSO FERREIRA', 'GISELE LOBO PAPPA']"
A DATA INTEGRATION APPROACH FOR SMART CITIES THE CASE OF NATAL,2017,"['NELIO ALESSANDRO AZEVEDO CACHO', 'EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A DATABASE FOR AUTOMATIC CLASSIFICATION OF GENDER IN ARAUCARIA ANGUSTIFOLIA PLANTS,2021,"['DANIEL WEINGAERTNER', 'LUIZ EDUARDO SOARES DE OLIVEIRA']"
A DATACENTRIC APPROACH FOR PREDICTING INDIVIDUAL OUTCOMES IN A MULTIPARTY LEGISLATIVE SYSTEM,2022,['ADRIANO ALONSO VELOSO']
A DATADRIVEN APPROACH TO REFERABLE DIABETIC RETINOPATHY DETECTION,2019,"['ANDERSON DE REZENDE ROCHA', 'JACQUES WAINER']"
A DATADRIVEN MODEL FOR THE OPTIMIZATION OF ENERGY CONSUMPTION OF AN INDUSTRIAL PRODUCTION BOILER IN A FIBER PLANT,2023,"['DJAMEL FAWZI HADJ SADOK', 'JUDITH KELNER']"
A DECADE OF INTERNATIONALIZATION OF THE BRAZILIAN SYMPOSIUM ON SOFTWARE ENGINEERING THE GOOD THE BAD AND THE UGLY,2022,"['IVAN DO CARMO MACHADO', 'VINICIUS CARDOSO GARCIA', 'DANIEL LUCREDIO', 'UIRA KULESZA', 'LEOPOLDO MOTTA TEIXEIRA']"
A DECENTRALIZED CONTROL SYSTEM FOR FIXED WING UNMANNED AERIAL VEHICLES IN FORMATION USING ROBUST H8734 CONTROL WITH MARKOVIAN JUMPS,2015,"['KALINKA REGINA LUCAS JAQUIE CASTELO BRANCO', 'ROBERTO SANTOS INOUE']"
A DECENTRALIZED DAMAGE DETECTION SYSTEM FOR WIRELESS SENSOR AND ACTUATOR NETWORKS,2015,"['PAULO DE FIGUEIREDO PIRES', 'FLAVIA COIMBRA DELICATO']"
A DECENTRALIZED FEDERATED LEARNING ARCHITECTURE FOR INTRUSION DETECTION IN IOT SYSTEMS,2022,['FABIANO PASSUELO HESSEL']
A DECISION COGNIZANT KULLBACKLEIBLER DIVERGENCE,2017,"['TEOFILO EMIDIO DE CAMPOS', 'MOACIR ANTONELLI PONTI']"
A DECISION TREE SYNTHESIS FLOW FOR PRECISE AND APPROXIMATE CIRCUITS,2022,"['CRISTINA MEINHARDT', 'JONATA TYSKA CARVALHO']"
A DECISIONBASED DYNAMIC ENSEMBLE SELECTION METHOD FOR CONCEPT DRIFT,2019,"['RAFAEL GIUSTI', 'EULANDA MIRANDA DOS SANTOS']"
A DEEP LEARNING ENSEMBLE TO CLASSIFY ANXIETY DEPRESSION AND THEIR COMORBIDITY FROM TEXTS OF SOCIAL NETWORKS,2021,"['JEFERSON CAMPOS NOBRE', 'KARIN BECKER']"
A DEEP NEURAL ARCHITECTURE FOR KITCHEN ACTIVITY RECOGNITION,2017,"['RODRIGO COELHO BARROS', 'FELIPE RECH MENEGUZZI']"
A DEFENSE MECHANISM FOR TIMINGBASED SIDECHANNEL ATTACKS ON IOT TRAFFIC,2020,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS']"
A DENSITYBASED APPROACH FOR INSTANCE SELECTION,2015,"['MARA ABEL', 'JOEL LUIS CARBONERA']"
A DENSITYBASED DECISIONMAKING DATA FUSION METHOD FOR MULTIAPPLICATION WIRELESS SENSOR NETWORKS,2019,"['CLAUDIO MICELI DE FARIAS', 'FLAVIA COIMBRA DELICATO']"
A DENSITYBASED PROTOTYPE SELECTION APPROACH,2020,"['MARA ABEL', 'JOEL LUIS CARBONERA']"
A DERIVATIVE BASED ALGORITHM FOR IMAGE THRESHOLDING,2016,"['ANDRE RICARDO BACKES', 'MAURICIO CUNHA ESCARPINATI', 'BRUNO AUGUSTO NASSIF TRAVENCOLO']"
A DERIVATIVE BASED ALGORITHM FOR IMAGE TRESHOLDING,2016,"['ANDRE RICARDO BACKES', 'MAURICIO CUNHA ESCARPINATI', 'BRUNO AUGUSTO NASSIF TRAVENCOLO']"
A DESIGN FLOW OF TREEBASED INFERENCE ENGINES FOR LOWPOWER LEARNING APPLICATIONS,2021,"['SERGIO BAMPI', 'MATEUS GRELLERT DA SILVA']"
A DESIGN SPACE EXPLORATION OF POWEREFFICIENT GAUSSIAN FILTER ARCHITECTURES USING LOGICAL OPTIMIZATION AND APPROXIMATED ADDERS,2023,"['CRISTINA MEINHARDT', 'JOSE LUIS ALMADA GUNTZEL', 'ISMAEL SEIDEL']"
A DETAILED ITEM RESPONSE THEORY ANALYSIS OF ALGORITHMS AND PROGRAMMING CONCEPTS IN APP INVENTOR PROJECTS,2021,"['CHRISTIANE ANNELIESE GRESSE VON WANGENHEIM', 'JEAN CARLO ROSSA HAUCK']"
A DETERMINISTIC APPROACH FOR EXTRACTING NETWORK SECURITY INTENTS,2022,"['LISANDRO ZAMBENEDETTI GRANVILLE', 'ALBERTO EGON SCHAEFFER FILHO']"
A DEVELOPMENT ENVIRONMENT FOR FIWAREBASED INTERNET OF THINGS APPLICATIONS,2019,"['EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA']"
A DGS GESTURE DICTIONARY FOR MODELLING ON MOBILE DEVICES,2017,"['SEIJI ISOTANI', 'LEONIDAS DE OLIVEIRA BRANDAO']"
A DISCRETE EXTERIOR CALCULUS APPROACH TO QUANTUM TRANSPORT AND QUANTUM CHAOS ON SURFACE,2019,"['ADRIANO LORENA INACIO DE OLIVEIRA', 'SILVIO DE BARROS MELO', 'ABEL GUILHERMINO DA SILVA FILHO']"
A DISTANCEBASED DATA FUSION TECHNIQUE FOR MINIMIZING GPS POSITIONING ERROR IN VEHICULAR AD HOC NETWORKS,2019,"['LEANDRO APARECIDO VILLAS', 'HORACIO ANTONIO BRAGA FERNANDES DE OLIVEIRA']"
A DISTANTLY SUPERVISED APPROACH FOR RECOGNIZING PRODUCT MENTIONS IN USERGENERATED CONTENT,2022,"['ALTIGRAN SOARES DA SILVA', 'EDLENO SILVA DE MOURA']"
A DISTRIBUTED ARCHITECTURE FOR DDOS PREDICTION AND BOT DETECTION,2020,"['MICHELE NOGUEIRA LIMA', 'ALDRI LUIZ DOS SANTOS']"
A DISTRIBUTED EVENTDRIVEN ARCHITECTURAL MODEL BASED ON SITUATIONAL AWARENESS APPLIED ON INTERNET OF THINGS,2019,"['ADENAUER CORREA YAMIN', 'ANA MARILZA PERNAS FLEISCHMANN']"
A DISTRIBUTED FRAMEWORK FOR LARGESCALE TIMEDEPENDENT GRAPH ANALYSIS,2017,"['REGIS PIRES MAGALHAES', 'TICIANA LINHARES COELHO DA SILVA']"
A DISTRIBUTED FRAMEWORK TO COMPUTE ENTITY RELATEDNESS IN LARGE RDF KNOWLEDGE BASES,2022,"['LUIZ ANDRE PORTES PAES LEME', 'MARCO ANTONIO CASANOVA']"
A DISTRIBUTED FRAMEWORK TO INVESTIGATE THE ENTITY RELATEDNESS PROBLEM IN LARGE RDF KNOWLEDGE BASES,2021,"['LUIZ ANDRE PORTES PAES LEME', 'MARCO ANTONIO CASANOVA']"
A DISTRIBUTED GPUBASED CORRELATION CLUSTERING ALGORITHM FOR LARGESCALE SIGNED SOCIAL NETWORKS,2017,"['LUCIA MARIA DE ASSUMPCAO DRUMMOND', 'YURI ABITBOL DE MENEZES FROTA']"
A DISTRIBUTED METHOD FOR ENERGY CONSUMPTION REDUCTION IN ARTICULATION POINTS USING TRAFFIC AGGREGATION IN WIRELESS SENSOR NETWORKS,2015,"['PRISCILA AMERICA SOLIS MENDEZ BARRETO', 'JACIR LUIZ BORDIM']"
A DOMAIN DECOMPOSITION MULTISCALE MIXED METHOD FOR FLOW IN POROUS MEDIA BASED ON ROBIN BOUNDARY CONDITIONS,2017,"['GUSTAVO CARLOS BUSCAGLIA', 'FABRICIO SIMEONI DE SOUSA']"
A DOMAIN DECOMPOSITION PROJECTION METHOD FOR THE NAVIERSTOKES EQUATIONS BASED ON THE MRCM,2019,"['GUSTAVO CARLOS BUSCAGLIA', 'FABRICIO SIMEONI DE SOUSA']"
A DOMAIN DECOMPOSITION PROJECTION METHOD FOR THE NAVIERSTOKES EQUATIONS BASED ON THE MULTISCALE ROBIN COUPLED METHOD,2019,"['GUSTAVO CARLOS BUSCAGLIA', 'FABRICIO SIMEONI DE SOUSA']"
A DOMAIN DECOMPOSITION STRATEGY TO COMPUTE EFFECTIVE ELECTRICAL CONDUCTIVITY OF LARGESCALE 3D DIGITAL ROCK IMAGES,2023,"['RICARDO LEIDERMAN', 'ANDRE MAUES BRABO PEREIRA']"
A DOMAIN SPECIFIC LANGUAGE FOR DRUM BEAT PROGRAMMING,2017,"['RODRIGO GERALDO RIBEIRO', 'ANDRE RAUBER DU BOIS']"
A DOMAIN SPECIFIC LANGUAGE TO PROVIDE MIDDLEWARE FOR INTEROPERABILITY AMONG SAAS AND DAASDBAAS THROUGH A METAMODEL APPROACH,2021,"['RITA SUZANA PITANGUEIRA MACIEL', 'DANIELA BARREIRO CLARO']"
A DOMAIN SPECIFIC LANGUAGE TO PROVIDE MIDDLEWARE FOR INTEROPERABILITYAMONG SAAS AND DAASDBAAS THROUGH A METAMODEL APPROACH,2021,"['RITA SUZANA PITANGUEIRA MACIEL', 'DANIELA BARREIRO CLARO']"
A DOMAINSPECIFIC LANGUAGE FOR AUTOMATED FAULT INJECTION IN SYSTEMC MODELS,2018,"['FRANK AUGUSTO SIQUEIRA', 'JOSE LUIS ALMADA GUNTZEL']"
A DRL APPROACH FOR OBJECT TRANSPORTATION IN COMPLEX ENVIRONMENTS,2022,"['DOUGLAS GUIMARAES MACHARET', 'LUIZ CHAIMOWICZ']"
A DSL FOR WSN SOFTWARE COMPONENTS COORDINATION,2021,"['ALDRI LUIZ DOS SANTOS', 'CARMEM SATIE HARA']"
A DYNAMIC BLOCKLEVEL EXECUTION PROFILER,2016,"['MARCO ANTONIO ZANATA ALVES', 'PHILIPPE OLIVIER ALEXANDRE NAVAUX']"
A DYNAMIC CLOUD DIMENSIONING APPROACH FOR PARALLEL SCIENTIFIC WORKFLOWS A CASE STUDY IN THE COMPARATIVE GENOMICS DOMAIN,2016,"['DANIEL CARDOSO MORAES DE OLIVEIRA', 'LUCIA MARIA DE ASSUMPCAO DRUMMOND']"
A DYNAMIC DATA STRUCTURE FOR TEMPORAL REACHABILITY WITH UNSORTED CONTACT INSERTIONS,2022,"['MARCELO KEESE ALBERTINI', 'BRUNO AUGUSTO NASSIF TRAVENCOLO']"
A DYNAMIC DECISION MODEL FOR DIAGNOSIS OF DEMENTIA ALZHEIMERS DISEASE AND MILD COGNITIVE IMPAIRMENT,2020,"['FLAVIO LUIZ SEIXAS', 'DEBORA CHRISTINA MUCHALUAT SAADE', 'AURA CONCI']"
A DYNAMIC MODULO SCHEDULING WITH BINARY TRANSLATION LOOP OPTIMIZATION WITH SOFTWARE COMPATIBILITY,2016,"['MONICA MAGALHAES PEREIRA', 'LUIGI CARRO']"
A DYNAMIC NETWORK CODING MAC PROTOCOL FOR POWER LINE COMMUNICATION,2021,"['MARCOS AUGUSTO MENEZES VIEIRA', 'LUIZ FILIPE MENEZES VIEIRA']"
A DYNAMIC NETWORKBASED INTRUSION DETECTION MODEL FOR INDUSTRIAL CONTROL SYSTEMS,2023,"['ALTAIR OLIVO SANTIN', 'EDUARDO KUGLER VIEGAS']"
A DYNAMIC PERSONAL HEALTH RECORD WITH SEMANTIC INTEROPERABILITY SUPPORT,2016,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA']"
A DYNAMIC RECONFIGURABLE SUPERVLIW ARCHITECTURE FOR A FAULT TOLERANT NANOSCALE DESIGN,2019,"['MONICA MAGALHAES PEREIRA', 'LUIGI CARRO']"
A DYNAMIC TRADEOFF DATA PROCESSING FRAMEWORK FOR DELAYSENSITIVE APPLICATIONS IN CLOUD OF THINGS SYSTEMS,2018,"['PAULO DE FIGUEIREDO PIRES', 'FLAVIA COIMBRA DELICATO']"
A EVOLUO DO JOGO ITESTLEARNING PARA O ENSINO DAS ATIVIDADES DE EXECUO DE TESTES DE SOFTWARE,2015,"['EMANUEL FERREIRA COUTINHO', 'CARLA ILANE MOREIRA BEZERRA']"
A FAMILY OF MULTICONCEPT PROGRAM SYNTHESISERS IN ALLOY,2021,"['JULIANO MANABU IYODA', 'ALEXANDRE CABRAL MOTA']"
A FAST ALGORITHM FOR TRACKING MOVING OBJECTS BASED ON SPATIO8208TEMPORAL VIDEO SEGMENTATION AND CLUSTER ENSEMBLES,2015,"['JACOB SCHARCANSKI', 'LUCIANO SILVA']"
A FAST AND EFFECTIVE STRATEGY FOR FEATURE SELECTION IN HIGHDIMENSIONAL DATASETS,2016,"['ALEXANDRE PLASTINO DE CARVALHO', 'CELSO DA CRUZ CARNEIRO RIBEIRO']"
A FAST BRANCHANDBOUND ALGORITHM FOR UCURVE FEATURE SELECTION,2017,"['JUNIOR BARRERA', 'MARCELO DA SILVA REIS']"
A FAST LOCAL MODE DECISION FOR THE HEVC INTRA PREDICTION BASED ON DIRECTION DETECTION,2019,"['BRUNO ZATT', 'LUCIANO VOLCAN AGOSTINI']"
A FAST SIMULATION METHOD FOR MULTITHREAD PIM APPLICATIONS,2021,"['MARCO ANTONIO ZANATA ALVES', 'LUIGI CARRO']"
A FASTER 1375APPROXIMATION ALGORITHM FOR SORTING BY TRANSPOSITIONS,2015,"['CELINA MIRAGLIA HERRERA DE FIGUEIREDO', 'LUIS FELIPE IGNACIO CUNHA', 'LUIS ANTONIO BRASIL KOWADA']"
A FAULT MODELING BASED RUNTIME DIAGNOSTIC MECHANISM FOR VEHICULAR DISTRIBUTED CONTROL SYSTEMS,2021,"['EDISON PIGNATON DE FREITAS', 'CARLOS EDUARDO PEREIRA']"
A FEASIBILITY CACHACA TYPE RECOGNITION USING COMPUTER VISION AND PATTERN RECOGNITION,2016,"['ALEXANDRE CLAUDIO BOTAZZO DELBEM', 'KLEINNER SILVA FARIAS DE OLIVEIRA']"
A FEATURE IDENTIFICATION METHOD TO EXPLAIN ANOMALIES IN CONDITION MONITORING,2021,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA', 'GABRIEL DE OLIVEIRA RAMOS']"
A FEDERATED DISCOVERY SERVICE FOR THE INTERNET OF THINGS,2015,"['EVERTON RANIELLY DE SOUSA CAVALCANTE', 'THAIS VASCONCELOS BATISTA', 'PAULO DE FIGUEIREDO PIRES', 'FLAVIA COIMBRA DELICATO']"
A FILE RECOMMENDATION MODEL FOR CLOUD STORAGE SYSTEMS,2015,"['FREDERICO ARAUJO DURAO', 'SILVIO ROMERO DE LEMOS MEIRA']"
A FINITE ELEMENT METHOD FOR SIMULATING SOFT ACTIVE NONSHEARABLE RODS IMMERSED IN GENERALIZED NEWTONIAN FLUIDS,2022,"['ROBERTO FEDERICO AUSAS', 'GUSTAVO CARLOS BUSCAGLIA']"
A FIXANDOPTIMIZE APPROACH FOR EFFICIENT AND LARGE SCALE VIRTUAL NETWORK FUNCTION PLACEMENT AND CHAINING,2017,"['WEVERTON LUIS DA COSTA CORDEIRO', 'LUCIANO PASCHOAL GASPARY', 'LUCIANA SALETE BURIOL']"
A FIXANDOPTIMIZE HEURISTIC FOR THE MINMAX REGRET SHORTEST PATH ARBORESCENCE PROBLEM UNDER INTERVAL UNCERTAINTY,2023,"['THIAGO FERREIRA DE NORONHA', 'LUIZ FILIPE MENEZES VIEIRA', 'VINICIUS FERNANDES DOS SANTOS']"
A FIXANDOPTIMIZE MATHEURISTIC FOR THE KLABELLED SPANNING FOREST PROBLEM,2022,"['SANTIAGO VALDES RAVELO', 'LUCIANA SALETE BURIOL']"
A FLEXIBLE NETWORK AND COMPUTEAWARE ORCHESTRATOR TO ENHANCE QOS IN NFVBASED MULTIMEDIA SERVICES,2018,"['PEDRO FROSI ROSA', 'FLAVIO DE OLIVEIRA SILVA']"
A FLOW MOBILITY MANAGEMENT ARCHITECTURE BASED ON PROXY MOBILE IPV6 FOR VEHICULAR NETWORKS,2016,"['ANTONIO ALFREDO FERREIRA LOUREIRO', 'RODOLFO IPOLITO MENEGUETTE']"
A FOG AND BLOCKCHAIN SOFTWARE ARCHITECTURE FOR A GLOBAL SCALE VACCINATION STRATEGY,2022,"['RODOLFO STOFFEL ANTUNES', 'CRISTIANO ANDRE DA COSTA']"
A FOGENABLED SMART HOME SOLUTION FOR DECISIONMAKING USING SMART OBJECTS,2020,"['GERALDO PEREIRA ROCHA FILHO', 'JO UEYAMA', 'LI WEIGANG', 'RODOLFO IPOLITO MENEGUETTE']"
A FOOD ALLERGY RISK DETECTION MODEL BASED ON SITUATION AWARENESS,2016,"['RODRIGO DA ROSA RIGHI', 'CRISTIANO ANDRE DA COSTA', 'SANDRO JOSE RIGO']"
A FORMAO EM IHC NO CURSO DE DESIGN DIGITAL DA UNIVERSIDADE FEDERAL DO CEAR,2015,"['INGRID TEIXEIRA MONTEIRO', 'ANDREIA LIBORIO SAMPAIO']"
A FRAMEWORK AND RISK ASSESSMENT APPROACHES FOR RISKBASED ACCESS CONTROL IN THE CLOUD,2016,"['CARLOS BECKER WESTPHALL', 'CARLA MERKLE WESTPHALL']"
A FRAMEWORK FOR ANALYZING THE IMPACT OF MISSING DATA IN PREDICTIVE MODELS,2020,"['EDUARDO CUNHA DE ALMEIDA', 'LUIZ EDUARDO SOARES DE OLIVEIRA']"
A FRAMEWORK FOR AUTOMATIC HAND RANGE OF MOTION EVALUATION OF RHEUMATOID ARTHRITIS PATIENTS,2021,"['TEOFILO EMIDIO DE CAMPOS', 'ROBERTO MARCONDES CESAR JUNIOR']"
A FRAMEWORK FOR BENCHMARKING DISCRIMINATIONAWARE MODELS IN MACHINE LEARNING,2019,"['WAGNER MEIRA JUNIOR', 'VIRGILIO AUGUSTO FERNANDES ALMEIDA']"
A FRAMEWORK FOR CHAINSAW DETECTION USING ONECLASS KERNEL AND WIRELESS ACOUSTIC SENSOR NETWORKS INTO THE AMAZON RAINFOREST,2016,"['JUAN GABRIEL COLONNA', 'EULANDA MIRANDA DOS SANTOS', 'EDUARDO FREIRE NAKAMURA']"
A FRAMEWORK FOR CONTINUOUS IMPROVEMENT OF THE IT ACQUISITION PROCESS AT BRAZILIAN FEDERAL PUBLIC ORGANISATIONS AN ACTIONRESEARCH STUDY,2020,"['CARLA TACIANA LIMA LOURENCO SILVA SCHUENEMANN', 'ALEXANDRE MARCOS LINS DE VASCONCELOS']"
A FRAMEWORK FOR DATA TRANSFORMATION IN CREDIT BEHAVIORAL SCORING APPLICATIONS BASED ON MODEL DRIVEN DEVELOPMENT,2017,"['PAULO JORGE LEITAO ADEODATO', 'ANA CAROLINA BRANDAO SALGADO']"
A FRAMEWORK FOR DESIGNING POWEREFFICIENT INFERENCE ACCELERATORS IN TREEBASED LEARNING APPLICATIONS,2022,"['SERGIO BAMPI', 'MATEUS GRELLERT DA SILVA']"
A FRAMEWORK FOR DYNAMIC CLASSIFIER SELECTION ORIENTED BY THE CLASSIFICATION PROBLEM DIFFICULTY,2017,"['ALCEU DE SOUZA BRITTO JR', 'FABRICIO ENEMBRECK']"
A FRAMEWORK FOR ENHANCING INDUSTRIAL SOFT SENSOR LEARNING MODELS,2023,"['MARCOS KALINOWSKI', 'HELIO CORTES VIEIRA LOPES']"
A FRAMEWORK FOR EVALUATING THE RESULTS OF THE SZZ APPROACH FOR IDENTIFYING BUGINTRODUCING CHANGES,2016,"['UIRA KULESZA', 'ROBERTA DE SOUZA COELHO']"
A FRAMEWORK FOR HUMANIZATION EVALUATION IN CHATBOTS,2023,"['LEANDRO APARECIDO VILLAS', 'JULIO CESAR DOS REIS']"
A FRAMEWORK FOR MONITORING PATIENTS WITH ALZHEIMERS AND OTHER DEMENTIAS,2019,"['DIEGO GIMENEZ PASSOS', 'VANESSA BRAGANHOLO MURTA', 'AURA CONCI', 'JOSE VITERBO FILHO']"
A FRAMEWORK FOR ONLINE CLUSTERING BASED ON EVOLVING SEMISUPERVISION,2017,"['ELAINE RIBEIRO DE FARIA PAIVA', 'MARIA CAMILA NARDINI BARIONI']"
